,countries,variable_type,Region,seried_id,date,records
Date,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1991,26140
Date.1,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1991,26630
Date.2,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1991,37290
Date.3,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1991,32000
Date.4,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1991,44500
Date.5,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1991,37560
Date.6,New Zealand,Country,Australia and Oceania,A85375607R,7/1/1991,47550
Date.7,New Zealand,Country,Australia and Oceania,A85375607R,8/1/1991,55880
Date.8,New Zealand,Country,Australia and Oceania,A85375607R,9/1/1991,49220
Date.9,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1991,47630
Date.10,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1991,41610
Date.11,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1991,34570
Date.12,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1992,20050
Date.13,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1992,24060
Date.14,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1992,31280
Date.15,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1992,33040
Date.16,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1992,40670
Date.17,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1992,33650
Date.18,New Zealand,Country,Australia and Oceania,A85375607R,7/1/1992,42680
Date.19,New Zealand,Country,Australia and Oceania,A85375607R,8/1/1992,44380
Date.20,New Zealand,Country,Australia and Oceania,A85375607R,9/1/1992,41480
Date.21,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1992,47270
Date.22,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1992,44310
Date.23,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1992,44670
Date.24,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1993,26940
Date.25,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1993,28440
Date.26,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1993,35370
Date.27,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1993,39990
Date.28,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1993,46760
Date.29,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1993,38220
Date.30,New Zealand,Country,Australia and Oceania,A85375607R,7/1/1993,45810
Date.31,New Zealand,Country,Australia and Oceania,A85375607R,8/1/1993,54730
Date.32,New Zealand,Country,Australia and Oceania,A85375607R,9/1/1993,52610
Date.33,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1993,47970
Date.34,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1993,38270
Date.35,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1993,44160
Date.36,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1994,27830
Date.37,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1994,24560
Date.38,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1994,37690
Date.39,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1994,36060
Date.40,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1994,37020
Date.41,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1994,40710
