No,Latitude,Longitude,Country,State,City
1,50.3584,16.7963,,,
2,42.9561,2.2138,,,
3,42.7551,2.9928,,,
4,51.8047,5.3353,,,
5,49.487,21.8002,,,
6,54.6083,17.1019,,,
7,36.9223,2.7197,,,
8,38.1807,17.5847,,,
9,40.3407,9.8616,,,
10,43.7312,18.3209,,,
11,50.8419,5.2348,,,
12,46.972,13.19,,,
13,48.0225,12.0336,,,
14,50.6066,4.5298,,,
15,36.7216,-8.0281,,,
16,47.9639,5.4118,,,
17,50.8888,6.7263,,,
18,60.5319,23.3373,,,
19,68.0527,23.8749,,,
20,48.3438,17.1981,,,
21,41.4801,4.9687,,,
22,49.6305,4.2303,,,
23,48.2918,9.9089,,,
24,50.9004,4.7074,,,
25,66.4933,22.6086,,,
26,48.4272,4.1528,,,
27,49.8022,6.3776,,,
28,52.6261,0.5301,,,
29,52.8158,3.3491,,,
30,38.6959,0.9787,,,
31,51.617,0.7261,,,
32,43.146,2.1466,,,
33,63.7407,14.9743,,,
34,48.1248,10.6747,,,
35,64.585,18.0486,,,
36,41.8995,-2.8236,,,
37,52.9516,19.4339,,,
38,41.3342,-2.9768,,,
39,53.1287,4.5324,,,
40,54.623,18.6393,,,
41,48.2046,13.4976,,,
42,48.0227,13.1504,,,
43,42.8644,7.9857,,,
44,52.6894,6.0916,,,
45,50.7835,1.2677,,,
46,65.8871,13.8106,,,
47,51.2386,5.6426,,,
48,50.3957,11.0355,,,
49,64.1438,15.1662,,,
50,50.9792,1.8121,,,
51,49.613,5.1241,,,
52,43.9582,14.4031,,,
53,40.6997,-8.4013,,,
54,54.4655,-7.8635,,,
55,41.7638,-6.8074,,,
56,48.4703,13.9896,,,
57,54.0916,6.5792,,,
58,41.0761,11.8638,,,
59,58.9723,22.0148,,,
60,51.2101,13.6972,,,
61,51.0185,21.2899,,,
62,51.1538,11.7049,,,
63,42.5593,-3.8191,,,
64,56.0768,-3.6906,,,
65,58.6747,14.0779,,,
66,46.799,-0.7167,,,
67,52.5511,16.9559,,,
68,49.944,3.8372,,,
69,50.419,3.8644,,,
70,46.4612,12.8081,,,
71,49.5342,16.5067,,,
72,52.5162,3.8786,,,
73,54.2446,13.9074,,,
74,51.6098,3.3748,,,
75,60.5625,13.527,,,
76,50.6546,-3.5908,,,
77,63.5835,12.6465,,,
78,50.0993,-1.5584,,,
79,53.0841,10.6737,,,
80,52.3109,5.8955,,,
81,51.4816,4.7576,,,
82,52.8811,10.6478,,,
83,50.5941,5.0348,,,
84,46.7777,-0.1887,,,
85,43.5669,5.6288,,,
86,36.7937,-8.6807,,,
87,51.7198,4.7707,,,
88,52.595,3.7104,,,
89,55.9612,23.5256,,,
90,57.1869,-4.0844,,,
91,58.2987,0.9064,,,
92,55.2141,-0.8502,,,
93,64.5174,12.3244,,,
94,51.5811,6.6137,,,
95,36.4752,-0.5554,,,
96,37.2261,16.2682,,,
97,53.2754,5.4847,,,
98,46.0136,-2.0921,,,
99,46.5781,13.4327,,,
100,56.5863,-1.6945,,,
101,39.9652,3.1971,,,
102,45.7102,9.3676,,,
103,43.4686,-0.322,,,
104,43.2673,0.9082,,,
105,46.9804,3.0107,,,
106,51.4631,15.6296,,,
107,42.8709,0.8524,,,
108,50.6862,23.9373,,,
109,47.5605,13.7403,,,
110,50.7143,-4.2057,,,
111,53.543,18.417,,,
112,49.3986,8.1433,,,
113,36.6821,-2.2705,,,
114,38.5808,2.7286,,,
115,41.7344,-6.5805,,,
116,40.1569,12.1927,,,
117,53.9506,19.9872,,,
118,49.8389,6.3622,,,
119,42.6191,1.8969,,,
120,51.4675,3.9071,,,
121,36.7538,17.5616,,,
122,50.6934,4.017,,,
123,52.55,6.218,,,
124,54.2875,23.3801,,,
125,51.7198,4.8177,,,
126,60.1034,12.5611,,,
127,50.0687,16.2306,,,
128,52.0536,7.3092,,,
129,50.0489,7.8192,,,
130,41.3475,-0.6666,,,
131,48.3131,4.9293,,,
132,38.0752,1.918,,,
133,45.071,16.62,,,
134,39.1819,3.0513,,,
135,51.145,5.0252,,,
136,52.5008,3.3696,,,
137,54.6854,-1.4904,,,
138,43.9756,0.5375,,,
139,46.9697,10.3689,,,
140,47.7672,15.5951,,,
141,51.1978,13.5877,,,
142,54.6638,11.1168,,,
143,45.6229,5.6109,,,
144,47.4593,-1.9587,,,
145,55.0672,-3.4351,,,
146,54.753,14.4862,,,
147,49.8188,14.3558,,,
148,62.7271,21.4774,,,
