FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude,WStation,Year,Month,Day
BUSHFIRE,2017,32,BARANDUDA - BARANDUDA RANGE TRACK,3/2/2017,20170302,FIRE,W201734032,920720,,0.157,-36.24690933,146.8746446,ALBURY AIRPORT AWS,2017,3,2
BUSHFIRE,2017,32,GLENROWAN RIDGE TRACK,12/20/2016,20161220,FIRE,W201737032,917222,,1.2163,-36.42070407,146.2147519,WANGARATTA AERO,2016,12,20
BUSHFIRE,2016,61,MT BRUNO - JONES RD,12/20/2015,20151220,FIRE,W201637061,887780,1552677,3.3494,-36.33900637,146.1519108,WANGARATTA AERO,2015,12,20
BUSHFIRE,2018,49,OVENS 49 - BEECHWORTH - WARNERS TRACK,1/23/2018,20180123,FIRE,W201834049,935865,,0.0724,-36.27098678,146.6278947,RUTHERGLEN RESEARCH,2018,1,23
BUSHFIRE,2016,2,BAILIESTON - REEDY LAKE,8/18/2015,20150818,FIRE,W2016992,,,13.9893,-36.71355704,145.0919874,SHEPPARTON AIRPORT,2015,8,18
BUSHFIRE,2017,35,KATAMATITE - FIELDS RD,12/21/2016,20161221,FIRE,W201737035,917308,,13.674,-36.03541885,145.6778623,YARRAWONGA,2016,12,21
BUSHFIRE,2016,,NSW - Granuaille Mountain,12/15/2015,20151215,FIRE,,,,232.4798,-36.43637144,148.1289845,CORRYONG AIRPORT,2015,12,15
BUSHFIRE,2016,11,GLEN WILLS - OMEO HIGHWAY,1/12/2016,20160112,FIRE,W201636011,890013,,1.501,-36.80410794,147.4850512,FALLS CREEK,2016,1,12
BUSHFIRE,2016,11,TUNGAMAH MAIN ROAD TUNGAMAH,9/29/2015,20150929,FIRE,W201637011,884977,,5.6913,-36.1602152,145.861147,YARRAWONGA,2015,9,29
BUSHFIRE,2016,119,YARRAWONGA- BOURKES BEND TWIN BRIDGE TRACK,1/28/2016,20160128,FIRE,W201637119,891407,,3.1523,-35.990025,145.8327532,YARRAWONGA,2016,1,28
BUSHFIRE,2016,12,WAHGUNYAH - RESERVE ROAD,11/26/2015,20151126,FIRE,W201634012,886401,,8.9297,-36.02114637,146.3887904,RUTHERGLEN RESEARCH,2015,11,26
BUSHFIRE,2016,13,BUCKLAND - GOLDIES SPUR,12/1/2015,20151201,FIRE,W201634013,886587,,0.1702,-36.81224573,146.8171755,EDI UPPER,2015,12,1
BUSHFIRE,2016,14,BONNIE DOON - KIERNANS RD,10/6/2015,20151006,FIRE,W201637014,885205,1539670,37.8932,-36.99001606,145.8783355,STRATHBOGIE,2015,10,6
BUSHFIRE,2016,14,CORRYONG - MT. TEMPEST,2/12/2016,20160212,FIRE,W201636014,892195,,6.7849,-36.46522538,148.0205922,CORRYONG AIRPORT,2016,2,12
BUSHFIRE,2016,16,ALEXANDRA - SWANN ROAD,12/14/2015,20151214,FIRE,W201638016,887147,,10.2652,-37.17953879,145.6889747,STRATHBOGIE,2015,12,14
BUSHFIRE,2016,16,FEATHERTOP - RAZORBACK NORTH,12/1/2015,20151201,FIRE,W201634016,886611,,1.0458,-36.86525876,147.1469774,FALLS CREEK,2015,12,1
BUSHFIRE,2016,62,EUROBIN CREEK TRACK,4/19/2016,20160419,FIRE,W201634062,899004,,5.7683,-36.67337179,146.8675606,EDI UPPER,2016,4,19
BUSHFIRE,2016,179,TOOLAMBA-UNION RD WEST,3/29/2016,20160329,FIRE,W201637179,897995,,2.0696,-36.50250001,145.3672184,SHEPPARTON AIRPORT,2016,3,29
BUSHFIRE,2016,19,MOUNT USEFUL - GREEN HILLS ROAD,1/1/2016,20160101,FIRE,W201644019,888436,,2.6809,-37.62501396,146.5173413,MOUNT BULLER,2016,1,1
BUSHFIRE,2016,2,ABBEYARD - CAMP CREEK TRACK,10/3/2015,20151003,FIRE,W201634002,885033,,10.5243,-36.93843687,146.7645006,EDI UPPER,2015,10,3
